"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"1616-ANUARIO DE LITERATURA COMPARADA","0210-7287","2445-2262","EDICIONES UNIV SALAMANCA","Plaza de San Benito, 2, SALAMANCA, Spain, CP 37002","Multi-Language","Literature"
"3D PRINTING IN MEDICINE","","2365-6271","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Radiology, Nuclear Medicine & Medical Imaging"
"3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES","0128-5157","2550-2247","PENERBIT UNIV KEBANGSAAN MALAYSIA","PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES, BANGI, Malaysia, SELANGOR, 43600","English","Language & Linguistics | Literature | Linguistics"
"452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA","","2013-3294","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Multi-Language","Literature"
"AACE ENDOCRINOLOGY AND DIABETES","","3050-9157","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Endocrinology & Metabolism"
"AACN ADVANCED CRITICAL CARE","1559-7768","1559-7776","AMER ASSOC CRITICAL CARE NURSES","101 COLUMBIA, ALISO VIEJO, USA, CA, 92656","English","Nursing"
"AAPPS BULLETIN","","2309-4710","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","","Physics, Multidisciplinary"
"A & A PRACTICE","2575-3126","2575-3126","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Anesthesiology"
"ABAKOS","2316-9451","2316-9451","PONTIFICIA UNIV CATOLICA MINAS GERAIS","DEPT CIENCIAS BIOLOGICAS, AV DOM JOSE GASPAR 500, CORACAO EUCARISTICO, CEP: 30.535-610, BELO HORIZONTE, BRAZIL, MG, 00000","Multi-Language","Mathematics, Interdisciplinary Applications"
"ABANICO VETERINARIO","2007-4204","2448-6132","SERGIO MARTINEZ GONZALEZ","TEZONTLE 171 PEDREGAL SAN JUAN, TEPIC NAYARIT, MEXICO, C P 63164","Spanish","Veterinary Sciences"
"ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY","0102-6720","2317-6326","COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD","AV BRIGADEIRO LUIZ ANTONIO, 278-6-SALAS 10 E 11, SAO PAULO SP, BRAZIL, 01318-901","Multi-Language","Gastroenterology & Hepatology"
"ABE JOURNAL","2275-6639","2275-6639","INVISU-CNRS-INHA, INST NAT HISTOIRE ART","2 RUE VIVIENNE, PARIS, FRANCE, 75002","English","Architecture"
"ABIOTECH","2096-6326","2662-1738","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Biotechnology & Applied Microbiology | Plant Sciences"
"ABORIGINAL HISTORY","0314-8769","1837-9389","AUSTRALIAN NATL UNIV, DEPT HISTORY","J B CHIFLEY BLDG NO 15, CANBERRA, AUSTRALIA, ACT  0200","English","History"
"ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL","2014-8526","2014-8534","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Multi-Language","Humanities, Multidisciplinary"
"ACADEMIA Y VIRTUALIDAD","2011-0731","2011-0731","UNIV MILITAR NUEVA GRANADA","FAC DERECHO, SEDE BOGOTA CRA 11 N 101-80, BOGOTA, COLOMBIA, 00000","Spanish","Education & Educational Research"
"ACADEMIC JOURNAL OF MODERN PHILOLOGY","2299-7164","2353-3218","COMMITTEE PHILOLOGY POLISH ACAD SCIENCES, WROCLAW BRANCH","COMMITTEE PHILOLOGY POLISH ACAD SCIENCES, WROCLAW BRANCH, WROCLAW , Poland, 00000","Multi-Language","Language & Linguistics"
"ACADEMIC PATHOLOGY","2374-2895","2374-2895","ELSEVIER SCIENCE INC","101 Park Avenue, 24th Floor, NEW YORK, United States, NY, 10178","English","Pathology"
"ACADEMY REVIEW","2074-5354","2522-9745","ALFRED NOBEL UNIV","SICHESLAVSKA NABEREZHNA ST, 18, DNIPRO, UKRAINE, 49000","Multi-Language","Business, Finance | Economics | Management"
"ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY","","2683-1007","ACCESS PRESS PUBLISHING HOUSE","32 Alexander Burmov, Veliko Tarnovo, Bulgaria, 5000","English","Business | Computer Science, Interdisciplinary Applications | Economics | Management"
"ACCESS TO JUSTICE IN EASTERN EUROPE","2663-0575","2663-0583","EAST EUROPEAN LAW RESEARCH CENTER","BANDERY STEPANA STR., 20A, KYIV, UKRAINE,","English","Law"
"ACCIONES E INVESTIGACIONES SOCIALES","1132-192X","2340-4507","UNIV ZARAGOZA, ESCUELA UNIV ESTUDIOS SOCIALES","VIOLANTE HUNDRIA, 23, ZARAGOZA, SPAIN, 50009","Spanish","Social Sciences, Interdisciplinary"
"ACCION PSICOLOGICA","1578-908X","2255-1271","UNIV NACL EDUCACION A DISTANCIA-UNED, CENTRAL LIBRARY","C/ Senda del Rey, 5, MADRID, Spain, 28040","Multi-Language","Psychology, Multidisciplinary"
"ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM","2194-6051","2152-2820","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Business, Finance"
"ACCOUNTING EDUCATION","0963-9284","1468-4489","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING HISTORIANS JOURNAL","0148-4184","2327-4468","AMER ACCOUNTING ASSOC","9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202","English","Business, Finance"
"ACCOUNTING HISTORY","1032-3732","1749-3374","SAGE PUBLICATIONS LTD","105 Bunhill Row, LONDON, England, EC1Y 8LZ","English","Business, Finance"
"ACCOUNTING HISTORY REVIEW","2155-2851","2155-286X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business"
"ACCOUNTING IN EUROPE","1744-9480","1744-9499","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING PERSPECTIVES","1911-382X","1911-3838","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Business, Finance"
"ACCOUNTING RESEARCH JOURNAL","1030-9616","1839-5465","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Business, Finance"
"ACCOUNTS OF MATERIALS RESEARCH","","2643-6728","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Multidisciplinary | Materials Science, Multidisciplinary"
"ACE-ARCHITECTURE CITY AND ENVIRONMENT","1886-4805","1886-4805","UNIV POLITECNICA CATALUNYA","AVDA DIAGONAL 649, BARCELONA, SPAIN, 08028","Multi-Language","Architecture | Urban Studies"
"ACERVO","0102-700X","2237-8723","ARQUIVO NACIONAL","PRACA da REPUBLICA, 173,BLOCO E CENTRO, RIO DE JANEIRO, Brazil, RIO DE JANEIRO, 20211-350","Portuguese","Humanities, Multidisciplinary | History | Information Science & Library Science"
"ACG CASE REPORTS JOURNAL","","2326-3253","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Gastroenterology & Hepatology"
"ACM COMMUNICATIONS IN COMPUTER ALGEBRA","1932-2232","1932-2240","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Mathematics, Applied"
"ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO","0001-494X","2282-0035","UNIV STUDI MILANO","C/O RIVISTA ITALIANA PALEONTOLOGIA STRATIGRAFIA, VIA MANGIAGALLI, 34, MILANO, ITALY, 20133","Italian","Humanities, Multidisciplinary"
"ACM JOURNAL OF DATA AND INFORMATION QUALITY","1936-1955","1936-1955","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Information Systems"
"ACM SIGECOM EXCHANGES","1551-9031","1551-9031","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Interdisciplinary Applications"
"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING","1936-7228","1936-7236","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Interdisciplinary Applications"
"ACM TRANSACTIONS ON COMPUTATION THEORY","1942-3454","1942-3462","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Theory & Methods"
"ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE","2691-1957","2637-8051","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Interdisciplinary Applications | Medical Informatics"
"ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS","2378-962X","2378-9638","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Interdisciplinary Applications"
"ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION","2167-8375","2167-8383","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Interdisciplinary Applications"
"ACM TRANSACTIONS ON EVOLUTIONARY LEARNING AND OPTIMIZATION","","2688-3007","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","","Computer Science, Theory & Methods | Computer Science, Artificial Intelligence"
"ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION","","2573-9522","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Robotics"
"ACM TRANSACTIONS ON INTERNET OF THINGS","2691-1914","2577-6207","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Information Systems | Engineering, Electrical & Electronic | Telecommunications"
"ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS","2158-656X","2158-6578","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Information Systems"
"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS","2376-3639","2376-3647","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Information Systems"
"ACM TRANSACTIONS ON PARALLEL COMPUTING","2329-4949","2329-4957","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Theory & Methods"
"ACM TRANSACTIONS ON QUANTUM COMPUTING","2643-6809","2643-6817","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Computer Science, Theory & Methods | Quantum Science & Technology"
"ACM TRANSACTIONS ON RECOMMENDER SYSTEMS","","2770-6699","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","","Computer Science, Artificial Intelligence | Computer Science, Information Systems"
"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS","2374-0353","2374-0361","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Remote Sensing"
"ACOUSTICAL SCIENCE AND TECHNOLOGY","1346-3969","1347-5177","ACOUSTICAL SOC JAPAN","NAKAURA 5TH-BLDG. 2F, 2-18-20 SOTOKANDA, CHIYODA-KU, TOKYO, JAPAN, 101-0021","English","Acoustics"
"ACOUSTICS","","2624-599X","MDPI","MDPI AG, Grosspeteranlage 5, BASEL, Switzerland, CH-4052","English","Acoustics"
"ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER","1828-454X","1828-454X","PAGEPRESS PUBL","MEDITGROUP, VIA G BELLI, 4, PAVIA, Italy, 27100","Multi-Language","Water Resources"
"A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL","1516-3210","1984-4182","EDITORA FORUM","AV AFONSO PENA 2770, 15-16 ANDAR, BAIRRO FUNCIONARIOS, BELO HORIZONTE, Brazil, MINAS GERAIS, 31710-430","Multi-Language","Law"
"ACR OPEN RHEUMATOLOGY","","2578-5745","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Rheumatology"
"ACS AGRICULTURAL SCIENCE & TECHNOLOGY","","2692-1952","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Agriculture, Multidisciplinary | Chemistry, Applied"
"ACS APPLIED BIO MATERIALS","2576-6422","2576-6422","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Nanoscience & Nanotechnology | Materials Science, Biomaterials"
"ACS APPLIED ENGINEERING MATERIALS","2771-9545","2771-9545","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science, Multidisciplinary"
"ACS APPLIED OPTICAL MATERIALS","2771-9855","2771-9855","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science, Multidisciplinary | Optics"
"ACS BIO & MED CHEM AU","","2694-2437","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biochemistry & Molecular Biology | Chemistry, Medicinal"
"ACS CHEMICAL HEALTH & SAFETY","","1878-0504","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Public, Environmental & Occupational Health"
"ACS ELECTROCHEMISTRY","","2997-0571","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Electrochemistry"
"ACS ENGINEERING AU","","2694-2488","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Engineering, Chemical"
"ACS ENVIRONMENTAL AU","","2694-2518","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Engineering, Environmental | Environmental Sciences"
"ACS ES&T AIR","","2837-1402","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Meteorology & Atmospheric Sciences | Engineering, Environmental"
"ACS ES&T ENGINEERING","","2690-0645","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Engineering, Environmental"
"ACS ES&T WATER","","2690-0637","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Environmental Sciences | Water Resources"
"ACS FOOD SCIENCE & TECHNOLOGY","","2692-1944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Food Science & Technology"
"ACS MATERIALS AU","2694-2461","2694-2461","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Physical | Materials Science, Multidisciplinary"
"ACS MEASUREMENT SCIENCE AU","","2694-250X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Analytical"
"ACS NANOSCIENCE AU","","2694-2496","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Nanoscience & Nanotechnology"
"ACS ORGANIC & INORGANIC AU","2694-247X","2694-247X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Multidisciplinary"
"ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE","","2575-9108","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Medicinal | Pharmacology & Pharmacy"
"ACS PHYSICAL CHEMISTRY AU","","2694-2445","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Physical"
"ACS POLYMERS AU","","2694-2453","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Polymer Science"
"ACTA AGROBOTANICA","0065-0951","2300-357X","POLSKIE TOWARZYSTWO BOTANICZNE","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","Multi-Language","Plant Sciences"
"ACTA ANAESTHESIOLOGICA BELGICA","0001-5164","2736-5239","ACTA MEDICAL BELGICA","AVENUE CIRCULAIRE 138 A, BRUSSELS, BELGIUM, B-1180","English","Anesthesiology"
"ACTA ANGIOLOGICA","1234-950X","1644-3276","VIA MEDICA","UL SWIETOKRZYSKA 73, GDANSK, POLAND, 80-180","Multi-Language","Peripheral Vascular Diseases"
"ACTA BALNEOLOGICA","2082-1867","2082-1867","WYDAWNICTWO ALUNA","UL Z M PRZESMYCKIEGO 29, KONSTANCIN-JEZIORNA, POLAND, 05510","Multi-Language","Rehabilitation"
"ACTA BALTICO-SLAVICA","0065-1044","2392-2389","POLISH ACAD SCIENCES, INST SLAVIC STUDIES","BARTOSZEWICZA 1B-17, WARSAW, POLAND, 00-337","Multi-Language","Humanities, Multidisciplinary"
"ACTA BIOCLINICA","2244-8136","2244-8136","UNIV LOS ANDES, VENEZUELA","SCH DENTISTRY, DENTAL RES CTR, BLDG DEPUTY RECTOR, MERIDA, VENEZUELA, 00000","Multi-Language","Dentistry, Oral Surgery & Medicine"
"ACTA BRASILIENSIS","2526-432X","2526-4338","UNIV FEDERAL CAMPINA GRANDE","RUA APRIGIO VELOSO 882, BODO CONGO, CAMPINA GRANDE PB, BRAZIL, 58109 090","Multi-Language","Agriculture, Multidisciplinary"
"ACTA CHEMICA IASI","2067-2438","2067-2446","ALEXANDRU IOAN CUZA UNIV PRESS","Str Munteni nr 34, IASI, Romania,  , 700539","English","Chemistry, Multidisciplinary"
"ACTA CHIMICA SLOVACA","1337-978X","1339-3065","PARADIGM PUBLISHING SERVICES-DE GRUYTER BRILL SP ZOO","ul Nowogrodzka 4/3, Warsaw, Poland, 00-513","English","Chemistry, Multidisciplinary"
"ACTA COLOMBIANA DE PSICOLOGIA","0123-9155","1909-9711","UNIV CATOLICA COLOMBIA, FAC DISENO","CARRERA 13 NO 47-49, BOGOTA D C, COLOMBIA, 00000","Multi-Language","Psychology, Clinical"
"ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS","2056-9890","2056-9890","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Crystallography"
"ACTA CYBERNETICA","0324-721X","0324-721X","UNIV SZEGED, FAC SCIENCE","C/O E SZABO, EXCHANGE LIBRARIAN, DUGONICS TER 13, PO BOX 393, SZEGED, HUNGARY, 6701","English","Computer Science, Cybernetics"
"ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA","1318-4458","1581-2979","DERMATOVENEROLOGICAL SOC SLOVENIA","DERMATOLOSKA KLINIKA, ZALOSKA 2, LJUBLJANA, SLOVENIA, 1525","English","Dermatology"
"ACTA EPILEPTOLOGICA","2096-9384","2524-4434","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Clinical Neurology"
"ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA","1406-2283","2228-4699","UNIV TARTU PRESS","Ulikooli 18, TARTU, Estonia, 50090","English","Mathematics"
"ACTA FACULTATIS XYLOLOGIAE ZVOLEN","1336-3824","1336-3824","TECHNICKA UNIV ZVOLENE","UL T G MASARYKA 2117-24, ZVOLEN, SLOVAKIA, 96053","English","Materials Science, Paper & Wood"
"ACTA GEOCHIMICA","2096-0956","2365-7499","SPRINGER INT PUBL AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Geochemistry & Geophysics"
"ACTA GERMANICA-GERMAN STUDIES IN AFRICA","0065-1273","0065-1273","PETER LANG GMBH","EUROPAISCHER VERLAG WISSENSCH JUPITERSTRASSE 15, BERN 15, SWITZERLAND, CH-3000","Multi-Language","Language & Linguistics"
"ACTA GYMNICA","2336-4912","2336-4920","UNIV PALACKEHO & OLOMOUCI, FAK TELESNE KULTURY","TR MIRU 115, OLOMOUC, CZECH REPUBLIC, 77111","English","Sport Sciences"
"ACTA HAEMATOLOGICA POLONICA","0001-5814","2300-7117","VIA MEDICA","UL SWIETOKRZYSKA 73, GDANSK, POLAND, 80-180","English","Hematology"
"ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS","1392-4095","2351-6526","INST BALTIC REGION HISTORY & ARCHAEOLOGY KLAIPEDA UNIV","HERKAUS MANTO ST, 84, KLAIPEDA, Lithuania, 92294","Multi-Language","History"
"ACTA IMEKO","0237-028X","2221-870X","IMEKO - INT MEASUREMENT CONFEDERATION","Lajos utca 74-76, Budapest, Hungary, H-1036","English","Instruments & Instrumentation"
"ACTA INFOLOGICA","","2602-3563","ISTANBUL UNIV","Rektorlugu, Beyazit, Fatih, ISTANBUL, Turkiye, 34452","Multi-Language","Computer Science, Information Systems"
"ACTA INFORMATICA PRAGENSIA","","1805-4951","PRAGUE UNIV ECONOMICS AND BUSINESS","NAM W CHURCHILLA 4, PRAGUE 3, Czech Republic, CZ-13067","Multi-Language","Computer Science, Interdisciplinary Applications | Social Sciences, Interdisciplinary"
"ACTA KINESIOLOGICA","1840-2976","1840-3700","EUROPEAN INST TALENTS EDUCATION & DEV-ASSOC PHYSICAL EDUCATION & HEALTH EDUCATORS LJUBUSKI","M. Krleze 12, LJUBUSKI, Croatia, 21000","English","Sport Sciences"
"ACTA LOGISTICA","","1339-5629","4S GO, S.R.O","Semsa 24, Semsa, Slovakia, 04421","English","Engineering, Industrial | Management"
"ACTA MATHEMATICA UNIVERSITATIS COMENIANAE","0231-6986","0862-9544","COMENIUS UNIV, SCH MEDICINE","SPITALSKA 24, BRATISLAVA, Slovakia, SK-813 72","English","Mathematics"
"ACTA MATHEMATICA VIETNAMICA","0251-4184","2315-4144","SPRINGER SINGAPORE PTE LTD","152 Beach Road, #21-01 Gateway East, SINGAPORE, Singapore, 189721","English","Mathematics"
"ACTA MECHANICA ET AUTOMATICA","1898-4088","2300-5319","BIALYSTOK UNIV TECHNOLOGY","45A, Wiejska Street, Bialystok, Poland, 15-351","English","Engineering, Mechanical"
"ACTA MEDICA INDONESIANA","0125-9326","2338-2732","UNIV INDONESIA, FAC MEDICINE","JALAN SALEMBA 6, JAKARTA PUSAT, INDONESIA, 10430","English","Medicine, General & Internal"
"ACTA MEDICA LITUANICA","1392-0138","2029-4174","VILNIUS UNIV PRESS","9 SAULETEKIO AV, VILNIUS, Lithuania, LT-10222","English","Medicine, General & Internal"
"ACTA MEDICO-HISTORICA ADRIATICA","1334-4366","1334-6253","CROATIAN SCIENTIFIC SOC HISTORY HEALTH CULTURE","BRACE BRANCHETTA 20, RIJEKA, CROATIA, 51000","Multi-Language","History & Philosophy Of Science"
"ACTA METALLURGICA SLOVACA","1335-1532","1338-1156","SCICELL SRO","MOJZESOVO 18, MOJZESOVO, SLOVAKIA, 94104","English","Metallurgy & Metallurgical Engineering"
"ACTA NEOPHILOLOGICA","0567-784X","2350-417X","UNIV LJUBLJANA PRESS","University of Ljubljana Press (University of Ljubljana), Kongresni trg 12, LJUBLJANA, Slovenia, 1000","Multi-Language","Literature"
"ACTA NEUROPSYCHOLOGICA","1730-7503","2084-4298","MEDSPORTPRESS PUBLISHING HOUSE","UL MARYMONCKA 34 SKR 23, WARSAW, POLAND, 01813","Polish","Psychology"
"ACTA OPTICA SINICA","0253-2239","0253-2239","CHINESE LASER PRESS","PO BOX 800-211, SHANGHAI, PEOPLES R CHINA, 201800","Chinese","Optics"
"ACTA OTO-LARYNGOLOGICA CASE REPORTS","2377-2484","2377-2484","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Otorhinolaryngology"
"ACTA OTORRINOLARINGOLOGICA ESPANOLA","0001-6519","1988-3013","ELSEVIER ESPANA SLU","Carrer de Tarragona, 161 – 15th floor, BARCELONA, Spain, 08014","Spanish","Otorhinolaryngology"
"ACTA PEDIATRICA DE MEXICO","0186-2391","2395-8235","INST NAC PEDIATRIA","AVE INSURGENTES SUR NO 3700-C, COL INSURGENTES CUICUILCO, MEXICO D F, MEXICO, 04530","Spanish","Pediatrics"
"ACTA PHLEBOLOGICA","1593-232X","1827-1766","EDIZIONI MINERVA MEDICA","CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126","Multi-Language","Peripheral Vascular Diseases"
"ACTA PHOTONICA SINICA","1004-4213","1004-4213","SCIENCE PRESS","300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522","Chinese","Optics"
"ACTA POETICA","0185-3082","2448-735X","UNIV NAC AUTONOMA MEXICO, INST INVESTIGACIONES FILOLOGICAS","CIRCUITO MARIO CUEVA, ZONA CULTURAL, MEXICO CITY, MEXICO, DF 04510","Multi-Language","Literary Theory & Criticism | Literature"
"ACTA POLYTECHNICA","","1805-2363","CZECH TECHNICAL UNIV PRAGUE","Jugoslavskych Partyzznu 1580/3, PRAHA 6, Czech Republic, Dejvice, 16000","English","Engineering, Multidisciplinary"
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","0001-6896","","FUNDACION ACTA","FONDO PARA LA SALUD MENTAL MALABIA 2274 13 A, BUENOS AIRES, ARGENTINA,","English","Psychiatry"
"ACTA PSYCHOLOGICA SINICA","0439-755X","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","Multi-Language","Psychology, Multidisciplinary"
"ACTA RADIOLOGICA OPEN","","2058-4601","SAGE PUBLICATIONS LTD","105 Bunhill Row, LONDON, England, EC1Y 8LZ","English","Radiology, Nuclear Medicine & Medical Imaging"
"ACTA SCIENTIARUM-HEALTH SCIENCES","1679-9291","1807-8648","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900","Multi-Language","Public, Environmental & Occupational Health"
"ACTA SCIENTIARUM MATHEMATICARUM","0001-6969","2064-8316","SPRINGER BIRKHAUSER","233 SPRING STREET, 6TH FLOOR, NEW YORK, USA, NY, 10013","Multi-Language","Mathematics"
"ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS","1644-0765","1644-0765","WYDAWNICTWO UNIWERSYTETU ROLNICZEGO HUGONA KOLLATAJA KRAKOWIE","AL 29 LISTOPADA 46, KRAKOW, POLAND, 31425","Multi-Language","Agronomy | Environmental Sciences"
