"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"INTERNATIONAL COMMUNITY LAW REVIEW","1871-9740","1871-9732","MARTINUS NIJHOFF PUBL","PO BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Law"
"INTERNATIONAL CRIMINAL JUSTICE REVIEW","1057-5677","1556-3855","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Criminology & Penology"
"INTERNATIONAL CRIMINAL LAW REVIEW","1567-536X","1571-8123","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, Netherlands, 2300 PA","English","Law"
"INTERNATIONAL CRITICAL THOUGHT","2159-8282","2159-8312","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science"
"INTERNATIONAL ECONOMIC JOURNAL","1016-8737","1743-517X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Economics"
"INTERNATIONAL ECONOMICS","2110-7017","2542-6869","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Economics"
"INTERNATIONAL ECONOMICS AND ECONOMIC POLICY","1612-4804","1612-4812","SPRINGER HEIDELBERG","Europaplatz 3, HEIDELBERG, Germany, D-69115","English","Economics"
"INTERNATIONAL EDUCATION JOURNAL-COMPARATIVE PERSPECTIVES","1443-1475","2202-493X","OCEANIA COMPARATIVE & INT EDUCATION SOC","C/O ZANE MA RHEA, FAC EDUC, MONASH UNIV, FRANKSTON, AUSTRALIA, 3199","English","Education & Educational Research"
"INTERNATIONAL E-JOURNAL OF CRIMINAL SCIENCES","1988-7949","1988-7949","DMS INT RESEARCH CENTRE","CENTRO CARLOS SANTAMARIA, ELHUYAR PLAZA, 2, DONOSTIA, SPAIN, SAN SEBASTIAN, 20018","Multi-Language","Criminology & Penology"
"INTERNATIONALE KATHOLISCHE ZEITSCHRIFT COMMUNIO","1439-6165","1439-6165","VERLAG HERDER GMBH","HERMANN-HERDER-STR 4, FREIBURG IM BREISGAU, GERMANY, 79104","German","Religion"
"INTERNATIONAL ELECTRONIC JOURNAL OF ALGEBRA","1306-6048","1306-6048","IEJA-INT ELECTRONIC JOURNAL ALGEBRA","IEJA-INT ELECTRONIC JOURNAL ALGEBRA, ANKARA, Turkiye, 00000","English","Mathematics"
"INTERNATIONAL ELECTRONIC JOURNAL OF GEOMETRY","1307-5624","1307-5624","INT ELECTRONIC JOURNAL GEOMETRY","INT ELECTRONIC JOURNAL GEOMETRY, ANKARA, Turkiye, 00000","English","Mathematics"
"INTERNATIONAL ELECTRONIC JOURNAL OF MATHEMATICS EDUCATION","1306-3030","1306-3030","MODESTUM LTD","STE 124 CHALLENGE HOUSE 616 MITCHAM RD, CROYDON, LONDON, ENGLAND, CRO 3AA","English","Education & Educational Research | Education, Scientific Disciplines"
"INTERNATIONAL ENERGY JOURNAL","1513-718X","1513-718X","REGIONAL ENERGY RESOURCES INFO CENTER","ASIAN INST TECHNOLOGY, PO BOX 4, KLONG LUANG, PATHUM THANI, THAILAND, 12120","English","Energy & Fuels"
"INTERNATIONAL ENTREPRENEURSHIP REVIEW","","2658-1841","KRAKOW UNIV ECONOMICS","ul. Rakowicka 27,  Krakow, Poland, 31-510","","Economics | Business"
"INTERNATIONAL FORUM OF PSYCHOANALYSIS","0803-706X","1651-2324","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Psychoanalysis"
"INTERNATIONAL GAME THEORY REVIEW","0219-1989","1793-6675","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, Singapore, 596224","English","Mathematics, Interdisciplinary Applications"
"INTERNATIONAL INDIGENOUS POLICY JOURNAL","1916-5781","1916-5781","UNIV WESTERN ONTARIO","BUSINESS QUARTERLY SCH OF BUS ADMIN, LONDON, CANADA, ONTARIO, N6A 3K7","English","Anthropology | Social Sciences, Interdisciplinary"
"INTERNATIONAL JOURNAL FOR COMPUTATIONAL METHODS IN ENGINEERING SCIENCE & MECHANICS","1550-2287","1550-2295","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Mechanics"
"INTERNATIONAL JOURNAL FOR CRIME JUSTICE AND SOCIAL DEMOCRACY","2202-7998","2202-8005","QUEENSLAND UNIV TECHNOLOGY","GPO  BOX 2434, BRISBANE, AUSTRALIA, QLD, 4001","English","Criminology & Penology"
"INTERNATIONAL JOURNAL FOR EDUCATIONAL INTEGRITY","1833-2595","1833-2595","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Education & Educational Research"
"INTERNATIONAL JOURNAL FOR HISTORY, CULTURE AND MODERNITY","2666-6529","2213-0624","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, Netherlands, 2300 PA","English","History"
"INTERNATIONAL JOURNAL FOR QUALITY RESEARCH","1800-6450","1800-7473","FAC ENGINEERING, UNIV KRAGUJEVAC","Mihaila Iveše 1/2-11, SESTRE JANJIĆ 6, KRAGUJEVAC, Serbia, 34000","English","Engineering, Industrial"
