JournalTitle,Discipline,List,Edition,Rank
荆楚法学,法学,CSSCI Extended,2025-2026,102
竞争政策研究,法学,CSSCI Extended,2025-2026,103
军事历史研究,历史学,CSSCI Extended,2025-2026,104
科技管理研究,管理学,CSSCI Extended,2025-2026,105
科技情报研究,信息资源管理,CSSCI Extended,2025-2026,106
科技与法律(中英文),法学,CSSCI Extended,2025-2026,107
科学管理研究,管理学,CSSCI Extended,2025-2026,108
科学决策,管理学,CSSCI Extended,2025-2026,109
科学与社会,管理学,CSSCI Extended,2025-2026,110
科学与无神论,宗教学,CSSCI Extended,2025-2026,111
孔学堂,哲学,CSSCI Extended,2025-2026,112
兰州学刊,综合性社会科学,CSSCI Extended,2025-2026,113
理论月刊,综合性社会科学,CSSCI Extended,2025-2026,114
历史教学,历史学,CSSCI Extended,2025-2026,115
历史教学问题,历史学,CSSCI Extended,2025-2026,116
历史评论,历史学,CSSCI Extended,2025-2026,117
辽宁大学学报(哲学社会科学版),高校学报,CSSCI Extended,2025-2026,118
马克思主义理论教学与研究,马克思主义理论,CSSCI Extended,2025-2026,119
马克思主义哲学,哲学,CSSCI Extended,2025-2026,120
满语研究,语言学,CSSCI Extended,2025-2026,121
美术观察,艺术学,CSSCI Extended,2025-2026,122
美术学报,艺术学,CSSCI Extended,2025-2026,123
民间文化论坛,民族学与文化学,CSSCI Extended,2025-2026,124
民族学论丛,民族学与文化学,CSSCI Extended,2025-2026,125
明清小说研究,中国文学,CSSCI Extended,2025-2026,126
南方建筑,艺术学,CSSCI Extended,2025-2026,127
南方金融,经济学,CSSCI Extended,2025-2026,128
南方人口,社会学,CSSCI Extended,2025-2026,129
南方文物,考古学,CSSCI Extended,2025-2026,130
南京财经大学学报,经济学,CSSCI Extended,2025-2026,131
南京工业大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,132
南京审计大学学报,经济学,CSSCI Extended,2025-2026,133
南亚研究,政治学,CSSCI Extended,2025-2026,134
农林经济管理学报,经济学,CSSCI Extended,2025-2026,135
农业经济与管理,经济学,CSSCI Extended,2025-2026,136
企业经济,管理学,CSSCI Extended,2025-2026,137
青海民族大学学报(藏文版),民族学与文化学,CSSCI Extended,2025-2026,138
青海民族大学学报(社会科学版),民族学与文化学,CSSCI Extended,2025-2026,139
青年记者,新闻学与传播学,CSSCI Extended,2025-2026,140
青年探索,社会学,CSSCI Extended,2025-2026,141
青少年犯罪问题,法学,CSSCI Extended,2025-2026,142
区域国别学刊,政治学,CSSCI Extended,2025-2026,143
区域经济评论,经济学,CSSCI Extended,2025-2026,144
热带地理,人文经济地理,CSSCI Extended,2025-2026,145
人口与社会,社会学,CSSCI Extended,2025-2026,146
人类学学报,考古学,CSSCI Extended,2025-2026,147
人民音乐,艺术学,CSSCI Extended,2025-2026,148
日语学习与研究,语言学,CSSCI Extended,2025-2026,149
山东体育学院学报,体育学,CSSCI Extended,2025-2026,150
山东外语教学,语言学,CSSCI Extended,2025-2026,151
商业经济与管理,经济学,CSSCI Extended,2025-2026,152
商业研究,经济学,CSSCI Extended,2025-2026,153
上海对外经贸大学学报,经济学,CSSCI Extended,2025-2026,154
上海文化,中国文学,CSSCI Extended,2025-2026,155
上海政法学院学报(法治论丛),法学,CSSCI Extended,2025-2026,156
社会保障研究,管理学,CSSCI Extended,2025-2026,157
社会工作,社会学,CSSCI Extended,2025-2026,158
社会科学家,综合性社会科学,CSSCI Extended,2025-2026,159
社会政策研究,社会学,CSSCI Extended,2025-2026,160
社会主义核心价值观研究,马克思主义理论,CSSCI Extended,2025-2026,161
世界地理研究,人文经济地理,CSSCI Extended,2025-2026,162
世界电影,艺术学,CSSCI Extended,2025-2026,163
世界华文文学论坛,中国文学,CSSCI Extended,2025-2026,164
世界民族,民族学与文化学,CSSCI Extended,2025-2026,165
世界农业,经济学,CSSCI Extended,2025-2026,166
首都经济贸易大学学报,经济学,CSSCI Extended,2025-2026,167
首都体育学院学报,体育学,CSSCI Extended,2025-2026,168
数学教育学报,教育学,CSSCI Extended,2025-2026,169
数字图书馆论坛,信息资源管理,CSSCI Extended,2025-2026,170
税务与经济,经济学,CSSCI Extended,2025-2026,171
