JournalTitle,Discipline,List,Edition,Rank
语言战略研究,语言学,CSSCI,2025-2026,511
中国翻译,语言学,CSSCI,2025-2026,512
中国外语,语言学,CSSCI,2025-2026,513
中国语文,语言学,CSSCI,2025-2026,514
中国语文通讯,语言学,CSSCI,2025-2026,515
中国语文研究,语言学,CSSCI,2025-2026,516
道德与文明,哲学,CSSCI,2025-2026,517
科学技术哲学研究,哲学,CSSCI,2025-2026,518
伦理学研究,哲学,CSSCI,2025-2026,519
逻辑学研究,哲学,CSSCI,2025-2026,520
世界哲学,哲学,CSSCI,2025-2026,521
现代哲学,哲学,CSSCI,2025-2026,522
哲学动态,哲学,CSSCI,2025-2026,523
哲学分析,哲学,CSSCI,2025-2026,524
哲学研究,哲学,CSSCI,2025-2026,525
哲学与文化,哲学,CSSCI,2025-2026,526
政治大学哲学学报,哲学,CSSCI,2025-2026,527
中国哲学史,哲学,CSSCI,2025-2026,528
自然辩证法通讯,哲学,CSSCI,2025-2026,529
自然辩证法研究,哲学,CSSCI,2025-2026,530
北京行政学院学报,政治学,CSSCI,2025-2026,531
当代美国评论,政治学,CSSCI,2025-2026,532
当代世界),政治学,CSSCI,2025-2026,533
当代亚太,政治学,CSSCI,2025-2026,534
德国研究,政治学,CSSCI,2025-2026,535
东北亚论坛,政治学,CSSCI,2025-2026,536
东南亚研究,政治学,CSSCI,2025-2026,537
甘肃行政学院学报,政治学,CSSCI,2025-2026,538
港澳研究,政治学,CSSCI,2025-2026,539
公共行政评论,政治学,CSSCI,2025-2026,540
公共行政学报,政治学,CSSCI,2025-2026,541
国际安全研究,政治学,CSSCI,2025-2026,542
国际关系研究,政治学,CSSCI,2025-2026,543
国际观察,政治学,CSSCI,2025-2026,544
国际论坛,政治学,CSSCI,2025-2026,545
国际问题研究,政治学,CSSCI,2025-2026,546
国际展望,政治学,CSSCI,2025-2026,547
国际政治科学,政治学,CSSCI,2025-2026,548
国际政治研究,政治学,CSSCI,2025-2026,549
和平与发展,政治学,CSSCI,2025-2026,550
江苏行政学院学报,政治学,CSSCI,2025-2026,551
理论探索,政治学,CSSCI,2025-2026,552
理论探讨,政治学,CSSCI,2025-2026,553
理论学刊,政治学,CSSCI,2025-2026,554
理论与改革,政治学,CSSCI,2025-2026,555
美国研究,政治学,CSSCI,2025-2026,556
南洋问题研究,政治学,CSSCI,2025-2026,557
欧洲研究,政治学,CSSCI,2025-2026,558
求实,政治学,CSSCI,2025-2026,559
人权,政治学,CSSCI,2025-2026,560
日本学刊,政治学,CSSCI,2025-2026,561
上海行政学院学报,政治学,CSSCI,2025-2026,562
世界经济与政治,政治学,CSSCI,2025-2026,563
台湾研究,政治学,CSSCI,2025-2026,564
太平洋学报,政治学,CSSCI,2025-2026,565
探索,政治学,CSSCI,2025-2026,566
外交评论,政治学,CSSCI,2025-2026,567
西亚非洲,政治学,CSSCI,2025-2026,568
现代国际关系,政治学,CSSCI,2025-2026,569
行政论坛,政治学,CSSCI,2025-2026,570
亚太安全与海洋研究,政治学,CSSCI,2025-2026,571
政治学研究,政治学,CSSCI,2025-2026,572
中共中央党校(国家行政学院)学报,政治学,CSSCI,2025-2026,573
中国评论,政治学,CSSCI,2025-2026,574
中国人民公安大学学报(社会科学版),政治学,CSSCI,2025-2026,575
清华中文学报,中国文学,CSSCI,2025-2026,576
当代文坛,中国文学,CSSCI,2025-2026,577
当代作家评论,中国文学,CSSCI,2025-2026,578
岭南学报,中国文学,CSSCI,2025-2026,579
民族文学研究,中国文学,CSSCI,2025-2026,580
南方文坛,中国文学,CSSCI,2025-2026,581
人文中国学报,中国文学,CSSCI,2025-2026,582
台大中文学报,中国文学,CSSCI,2025-2026,583
文学评论,中国文学,CSSCI,2025-2026,584
文学遗产,中国文学,CSSCI,2025-2026,585
文艺理论研究,中国文学,CSSCI,2025-2026,586
文艺理论与批评,中国文学,CSSCI,2025-2026,587
文艺争鸣,中国文学,CSSCI,2025-2026,588
文与哲,中国文学,CSSCI,2025-2026,589
现代中文学刊,中国文学,CSSCI,2025-2026,590
小说评论,中国文学,CSSCI,2025-2026,591
新文学史料,中国文学,CSSCI,2025-2026,592
扬子江文学评论,中国文学,CSSCI,2025-2026,593
中国比较文学,中国文学,CSSCI,2025-2026,594
中国当代文学研究,中国文学,CSSCI,2025-2026,595
中国文学批评,中国文学,CSSCI,2025-2026,596
中国文学研究,中国文学,CSSCI,2025-2026,597
中国现代文学研究丛刊,中国文学,CSSCI,2025-2026,598
鲁迅研究月刊,中国文学,CSSCI,2025-2026,599
出土文献,中华传统文化,CSSCI,2025-2026,600
敦煌学辑刊,中华传统文化,CSSCI,2025-2026,601
敦煌研究,中华传统文化,CSSCI,2025-2026,602
国际汉学,中华传统文化,CSSCI,2025-2026,603
孔子研究,中华传统文化,CSSCI,2025-2026,604
历史地理研究,中华传统文化,CSSCI,2025-2026,605
民俗研究,中华传统文化,CSSCI,2025-2026,606
文化遗产,中华传统文化,CSSCI,2025-2026,607
文化杂志,中华传统文化,CSSCI,2025-2026,608
西域研究,中华传统文化,CSSCI,2025-2026,609
中国边疆史地研究,中华传统文化,CSSCI,2025-2026,610
中国历史地理论丛,中华传统文化,CSSCI,2025-2026,611
周易研究,中华传统文化,CSSCI,2025-2026,612
长江流域资源与环境,自然资源与环境科学,CSSCI,2025-2026,613
生态文明研究,自然资源与环境科学,CSSCI,2025-2026,614
中国环境管理,自然资源与环境科学,CSSCI,2025-2026,615
中国人口·资源与环境,自然资源与环境科学,CSSCI,2025-2026,616
中国土地科学,自然资源与环境科学,CSSCI,2025-2026,617
资源科学,自然资源与环境科学,CSSCI,2025-2026,618
自然资源学报,自然资源与环境科学,CSSCI,2025-2026,619
世界宗教研究,宗教学,CSSCI,2025-2026,620
宗教学研究,宗教学,CSSCI,2025-2026,621
世界宗教文化,宗教学,CSSCI,2025-2026,622
重庆社会科学,综合性社会科学,CSSCI,2025-2026,623
东南学术,综合性社会科学,CSSCI,2025-2026,624
东岳论丛,综合性社会科学,CSSCI,2025-2026,625
读书,综合性社会科学,CSSCI,2025-2026,626
福建论坛(人文社会科学版）,综合性社会科学,CSSCI,2025-2026,627
甘肃社会科学,综合性社会科学,CSSCI,2025-2026,628
广东社会科学,综合性社会科学,CSSCI,2025-2026,629
贵州社会科学,综合性社会科学,CSSCI,2025-2026,630
河北学刊,综合性社会科学,CSSCI,2025-2026,631
江海学刊,综合性社会科学,CSSCI,2025-2026,632
江汉论坛,综合性社会科学,CSSCI,2025-2026,633
江淮论坛,综合性社会科学,CSSCI,2025-2026,634
江苏社会科学,综合性社会科学,CSSCI,2025-2026,635
江西社会科学,综合性社会科学,CSSCI,2025-2026,636
开放时代),综合性社会科学,CSSCI,2025-2026,637
南国学术,综合性社会科学,CSSCI,2025-2026,638
南京社会科学,综合性社会科学,CSSCI,2025-2026,639
内蒙古社会科学,综合性社会科学,CSSCI,2025-2026,640
宁夏社会科学,综合性社会科学,CSSCI,2025-2026,641
青海社会科学,综合性社会科学,CSSCI,2025-2026,642
求是学刊,综合性社会科学,CSSCI,2025-2026,643
求索,综合性社会科学,CSSCI,2025-2026,644
人民论坛,综合性社会科学,CSSCI,2025-2026,645
人文杂志,综合性社会科学,CSSCI,2025-2026,646
山东社会科学,综合性社会科学,CSSCI,2025-2026,647
社会科学,综合性社会科学,CSSCI,2025-2026,648
社会科学辑刊,综合性社会科学,CSSCI,2025-2026,649
社会科学研究,综合性社会科学,CSSCI,2025-2026,650
社会科学战线,综合性社会科学,CSSCI,2025-2026,651
世界社会科学,综合性社会科学,CSSCI,2025-2026,652
思想战线,综合性社会科学,CSSCI,2025-2026,653
探索与争鸣,综合性社会科学,CSSCI,2025-2026,654
天津社会科学,综合性社会科学,CSSCI,2025-2026,655
文化纵横,综合性社会科学,CSSCI,2025-2026,656
文史哲,综合性社会科学,CSSCI,2025-2026,657
新疆社会科学,综合性社会科学,CSSCI,2025-2026,658
学海,综合性社会科学,CSSCI,2025-2026,659
学术界,综合性社会科学,CSSCI,2025-2026,660
学术论坛,综合性社会科学,CSSCI,2025-2026,661
学术前沿,综合性社会科学,CSSCI,2025-2026,662
学术研究,综合性社会科学,CSSCI,2025-2026,663
学术月刊,综合性社会科学,CSSCI,2025-2026,664
学习与实践,综合性社会科学,CSSCI,2025-2026,665
学习与探索,综合性社会科学,CSSCI,2025-2026,666
云南社会科学,综合性社会科学,CSSCI,2025-2026,667
浙江社会科学,综合性社会科学,CSSCI,2025-2026,668
浙江学刊,综合性社会科学,CSSCI,2025-2026,669
中国高校社会科学,综合性社会科学,CSSCI,2025-2026,670
中国社会科学,综合性社会科学,CSSCI,2025-2026,671
中国社会科学评价,综合性社会科学,CSSCI,2025-2026,672
中国文化研究所学报,综合性社会科学,CSSCI,2025-2026,673
中州学刊,综合性社会科学,CSSCI,2025-2026,674
