Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
ACM Transactions on Design Automation of Electronic Systems,Journal,10844309,15577309,Association for Computing Machinery,United States,ENGLISH,Computer Graphics and Computer-Aided Design,Computer Science Applications,Electrical and Electronic Engineering,-,-,-,-,-
ACM Transactions on Economics and Computation,Journal,21678375,21678383,Association for Computing Machinery,United States,ENGLISH,Marketing,Computer Science (miscellaneous),Economics and Econometrics,Computational Mathematics,Statistics and Probability,-,-,-
ACM Transactions on Embedded Computing Systems,Journal,15399087,15583465,Association for Computing Machinery,United States,ENGLISH,Hardware and Architecture,Software,-,-,-,-,-,-
ACM Transactions on Evolutionary Learning and Optimization,Journal,2688299X,26883007,Association for Computing Machinery,United States,ENGLISH,Computer Science (miscellaneous),Artificial Intelligence,Computational Theory and Mathematics,Computer Science Applications,Computer Vision and Pattern Recognition,Software,-,-
ACM Transactions on Graphics,Journal,07300301,15577368,Association for Computing Machinery,United States,ENGLISH,Computer Graphics and Computer-Aided Design,-,-,-,-,-,-,-
ACM Transactions on Human-Robot Interaction,Journal,-,25739522,Association for Computing Machinery,United States,ENGLISH,Artificial Intelligence,Human-Computer Interaction,-,-,-,-,-,-
ACM Transactions on Information Systems,Journal,10468188,15582868,Association for Computing Machinery,United States,ENGLISH,"Business, Management and Accounting (all)",Computer Science Applications,Information Systems,-,-,-,-,-
ACM Transactions on Intelligent Systems and Technology,Journal,21576904,21576912,Association for Computing Machinery,United States,ENGLISH,Artificial Intelligence,Theoretical Computer Science,-,-,-,-,-,-
ACM Transactions on Interactive Intelligent Systems,Journal,21606455,21606463,Association for Computing Machinery,United States,ENGLISH,Artificial Intelligence,Human-Computer Interaction,-,-,-,-,-,-
ACM Transactions on Internet of Things,Journal,25776207,-,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,Computer Science Applications,Hardware and Architecture,Information Systems,Software,-,-,-
ACM Transactions on Internet Technology,Journal,15335399,15576051,Association for Computing Machinery,United States,ENGLISH,Computer Networks and Communications,-,-,-,-,-,-,-
